"","name","number","abbrev","peak.date","theo.ra","theo.dec","mean.ra","mean.dec","sdom","n.events","n.radiants","n.bad.events","n.bad.radiants","fishkent.p.value","vmf.mu.x","vmf.mu.y","vmf.mu.z","vmf.kappa","kent.mu.x","kent.mu.y","kent.mu.z","kent.kappa"
"...107","Perseids","007","PER","20130812","48","58",51.7053301580612,55.6085085803153,1.52178116724709,109,5995,-1,-1,4.97092686753654e-30,0.350037516984239,0.443309155104298,0.825197388328527,12.8868914177349,0.350037516984239,0.443309155104298,0.825197388328527,13.1688844785492
"...108","κ-Cygnids","012","KCG","20130817","286","59",39.7853324795242,38.329328159896,11.6185440888911,15,120,-1,-1,0.00167736699118448,0.602815466003652,0.501985525087709,0.62018065638104,1.51992396077975,0.602815466003652,0.501985525087709,0.62018065638104,1.57182122279202
"...109","Aurigids","206","AUR","20130901","91","39",60.8750113351223,68.0321935270745,13.6801120215328,3,6,-1,-1,0.292241050552802,0.182073585810217,0.326786198617685,0.927394193287413,4.3853672214091,0.182073585810217,0.326786198617685,0.927394193287413,5.92033766118129
"...110","Sept. ε-Perseids","208","SPE","20130909","48","40",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...111","Draconids","009","DRA","20131008","262","54",64.2121341256994,43.4837331713653,13.6047417982921,10,55,-1,-1,0.0265420480385101,0.315652178278022,0.65331094959918,0.688148607120699,1.61239696513842,0.315652178278021,0.65331094959918,0.688148607120699,1.68103308456775
"...112","S. Taurids","002","STA","20131010","32","9",34.5635100866357,17.0936333922783,15.1548509724863,8,36,-1,-1,0.727718052607614,0.78712038823138,0.542258452295469,0.29393411735388,1.5881788762101,0.78712038823138,0.542258452295469,0.29393411735388,1.5893703128031
"...113","δ-Aurigids","224","DAU","20131011","84","44",72.9261646082584,-65.9356810469072,23.8579678618614,2,3,-1,-1,0.182324403112995,0.119720456497548,0.389790699354194,-0.913088288717464,1.92245911158318,0.119720456497548,0.389790699354194,-0.913088288717464,3.80767276024395
"...114","ε-Geminids","023","EGE","20131018","102","27",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...115","Orionids","008","ORI","20131021","95","16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...116","Leonis Minorids","022","LMI","20131024","162","37",112.173609698422,17.4926918677867,17.5327500274036,4,10,-1,-1,0.184160995507542,-0.35996088154379,0.883219866627416,0.300584149536974,2.13587178468821,-0.35996088154379,0.883219866627416,0.300584149536974,2.43964525244185
"...117","N. Taurids","017","NTA","20131112","58","22",87.6324386379505,27.130722200797,11.463656980819,12,78,-1,-1,0.0880030859199389,0.03676457963504,0.889208715528912,0.456022176995462,1.92156706975366,0.0367645796350401,0.889208715528913,0.456022176995462,1.95336959507621
"...118","Leonids","013","LEO","20131117","152","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...119","α-Monocerotids","246","AMO","20131121","117","1",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...120","Phoenicids","254","PHO","20131206","18","-53",125.249318407791,3.86254366312904,12.2642172604095,15,120,-1,-1,4.18627006631354e-13,-0.575824529122031,0.81479342821664,0.067363053644907,1.36409812286948,-0.575824529122031,0.81479342821664,0.067363053644907,1.55998782913385
"...121","Puppid-Velids","301","PUP","20131207","123","-45",99.3402754757928,4.42467605671835,10.6089672007607,14,105,-1,-1,0.569192821645668,-0.161813772736498,0.98380100766518,0.0771484301185533,1.94449930524349,-0.161813772736498,0.98380100766518,0.0771484301185533,1.93743840220111
"...122","Monocerotids","019","MON","20131209","100","8",96.5540769426429,-3.26789387088479,21.8359745344644,7,28,-1,-1,0.63175232947356,-0.113955314208342,0.991849113093181,-0.0570045894639081,0.860617394259553,-0.113955314208342,0.991849113093181,-0.0570045894639082,0.880427042956589
"...123","σ-Hydrids","016","HYD","20131212","127","2",126.107130622124,22.3962532889444,8.57758224730699,21,231,-1,-1,0.0513808553217873,-0.544846803822515,0.746976173215329,0.38100991721079,2.02811604980217,-0.544846803822515,0.746976173215329,0.38100991721079,2.03199589738594
"...124","Geminids","004","GEM","20131214","112","33",110.95423282316,34.8603126350622,2.4422195650888,2,3,-1,-1,0.38626509909386,-0.293446097525571,0.766282188424834,0.571577637377338,183.465579846668,-0.293446097525571,0.766282188424834,0.571577637377338,498.502485966995
"...125","Comae Ber.","020","COM","20131216","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...126","Dec. L. Minorids","032","DLM","20131219","161","30",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...127","Ursids","015","URS","20131222","217","76",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...128","﻿Quadrantids","010","QUA","20140103","230","49",202.407651679097,34.8397382409939,12.2383160355133,3,6,-1,-1,0.559037519617177,-0.758782326923237,-0.312866061280353,0.571282949201073,5.47951279682604,-0.758782326923238,-0.312866061280353,0.571282949201073,6.35989658098156
"...129","α-Centaurids","102","ACE","20140208","210","-59",155.136156728635,21.7588707965893,9.70010819343134,2,3,-1,-1,0.429498213404379,-0.842665695135825,0.390506235717463,0.370701235642713,11.6297627046532,-0.842665695135825,0.390506235717462,0.370701235642713,22.8209637652939
"...130","γ-Normids","118","GNO","20140314","239","-50",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...131","Lyrids","006","LYR","20140422","271","34",273.373444184535,27.6456984730627,4.39120703742513,24,300,-1,-1,0.207384589030412,0.0521257340706296,-0.884298812326591,0.464002713747859,6.80984816121613,0.0521257340706297,-0.884298812326591,0.464002713747859,6.88447502964634
"...132","π-Puppids","137","PPU","20140423","110","-45",236.639684236954,25.3545197772664,12.1236733391311,4,10,-1,-1,0.149771013270484,-0.496933297437655,-0.754775917666597,0.428217949189763,4.46690594500775,-0.496933297437655,-0.754775917666596,0.428217949189763,5.89689153735903
"...133","η-Aquariids","031","ETA","20140506","338","-1",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...134","η-Lyrids","145","ELY","20140508","287","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...135","June Bootids","170","JBO","20140627","224","48",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...136","Piscis Austrinids","183","PAU","20140728","341","-30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...137","S. δ-Aquariids","005","SDA","20140730","340","-16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...138","α-Capricornids","001","CAP","20140730","307","-10",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...139","Perseids","007","PER","20140813","48","58",49.9160635324092,54.7423012903059,2.1242696965644,86,3741,-1,-1,1.3999208343282e-06,0.371699721719314,0.441658866067434,0.81656399804168,8.36193340770151,0.371699721719314,0.441658866067434,0.81656399804168,8.43235708610061
"...140","κ-Cygnids","012","KCG","20140818","286","59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...141","Aurigids","206","AUR","20140901","91","39",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...142","Sept. ε-Perseids","208","SPE","20140909","48","40",293.998203034309,13.7318007896476,30.5151867839792,3,6,-1,-1,0.35348902699632,0.395083267715514,-0.887446452866643,0.237377346993441,0.881359739864459,0.395083267715514,-0.887446452866643,0.237377346993441,0.92313732486447
"...143","Draconids","009","DRA","20141008","262","54",119.263377747497,34.1494021065268,17.1180652436343,3,6,-1,-1,0.553611392459045,-0.404540098195171,0.721962868326412,0.561352764053176,2.80076015214988,-0.404540098195171,0.721962868326412,0.561352764053176,3.07076570165741
"...144","S. Taurids","002","STA","20141010","32","9",94.9746184337643,21.6015283223888,20.9435956262571,3,6,-1,-1,0.0461421654686298,-0.080624184651162,0.926264429985009,0.368149353651315,1.87103876464995,-0.080624184651162,0.926264429985009,0.368149353651315,3.33689591253055
"...145","δ-Aurigids","224","DAU","20141011","84","44",125.504400393434,15.7617678404416,13.0732589130317,2,3,-1,-1,0.306004455510012,-0.55892838683016,0.783461415706964,0.271638120472578,6.40259874785062,-0.55892838683016,0.783461415706964,0.271638120472578,19.0037563164703
"...146","ε-Geminids","023","EGE","20141018","102","27",103.502207036341,34.1431291689223,11.273915081652,5,15,-1,-1,0.658645684636347,-0.193239272682643,0.804762932242717,0.561262154773674,4.30471591454358,-0.193239272682643,0.804762932242717,0.561262154773674,4.4595581231626
"...147","Orionids","008","ORI","20141021","95","16",90.3175706033664,43.3932168308681,13.1939415686957,9,45,-1,-1,0.596297568822021,-0.00402758122328301,0.72664484746116,0.687001487805986,1.88580226052931,-0.00402758122328299,0.72664484746116,0.687001487805986,1.88753015004976
"...148","Leonis Minorids","022","LMI","20141024","162","37",111.957938270809,6.33235187423545,11.8513672401157,8,36,-1,-1,0.378777260971956,-0.371644449475413,0.921800032086891,0.110295530366029,2.5969634874452,-0.371644449475413,0.921800032086891,0.110295530366029,2.64181514166431
"...149","N. Taurids","017","NTA","20141112","58","22",59.4910675504613,-4.19871717420191,14.0314554811107,16,136,-1,-1,0.00196270130160411,0.506310151122603,0.859237724722738,-0.0732158677029738,0.980823579782549,0.506310151122602,0.859237724722738,-0.0732158677029739,1.02108542852763
"...150","Leonids","013","LEO","20141117","152","22",139.34802402706,19.040212293465,9.73229773549907,37,703,-1,-1,3.51936418794432e-10,-0.717173109851786,0.61582109848748,0.326231674064907,0.912075720527325,-0.717173109851786,0.61582109848748,0.326231674064907,0.943169212775942
"...151","α-Monocerotids","246","AMO","20141121","117","1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...152","Phoenicids","254","PHO","20141206","18","-53",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...153","Puppid-Velids","301","PUP","20141207","123","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...154","Monocerotids","019","MON","20141209","100","8",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...155","σ-Hydrids","016","HYD","20141212","127","2",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...156","Geminids","004","GEM","20141214","112","33",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...157","Comae Ber.","020","COM","20141216","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...158","Dec. L. Minorids","032","DLM","20141220","161","30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...159","Ursids","015","URS","20141222","217","76",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...160","﻿Quadrantids","010","QUA","20150104","230","49",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...161","α-Centaurids","102","ACE","20150208","210","-59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...162","γ-Normids","118","GNO","20150315","239","-50",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...163","Lyrids","006","LYR","20150422","271","34",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...164","π-Puppids","137","PPU","20150424","110","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...165","η-Aquariids","031","ETA","20150506","338","-1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...166","η-Lyrids","145","ELY","20150509","287","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...167","June Bootids","170","JBO","20150627","224","48",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...168","Piscis Austr.","183","PAU","20150728","341","-30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...169","S. δ-Aquariids","005","SDA","20150730","340","-16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...170","α-Capricornids","001","CAP","20150730","307","-10",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...171","Perseids","007","PER","20150813","48","58",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...172","κ-Cygnids","012","KCG","20150818","286","59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...173","Aurigids","206","AUR","20150901","91","39",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...174","Sept. ε-Perseids","208","SPE","20150909","48","40",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...175","Draconids","009","DRA","20151009","262","54",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...176","S. Taurids","002","STA","20151010","32","9",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...177","δ-Aurigids","224","DAU","20151011","84","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...178","ε-Geminids","023","EGE","20151018","102","27",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...179","Orionids","008","ORI","20151021","95","16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...180","Leonis Minorids","022","LMI","20151024","162","37",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...181","N. Taurids","017","NTA","20151112","58","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...182","Leonids","013","LEO","20151118","152","22",258.990386102586,72.9384383246311,19.1906109221235,5,15,-1,-1,0.474874995089406,-0.0560315016414208,-0.287999076697707,0.955990064093281,1.48564967912876,-0.0560315016414207,-0.287999076697707,0.955990064093281,1.53299009101019
"...183","α-Monocerotids","246","AMO","20151122","117","1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...184","Phoenicids","254","PHO","20151206","18","-53",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...185","Puppid-Velids","301","PUP","20151207","123","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...186","Monocerotids","019","MON","20151209","100","8",122.180308861953,17.8620667679193,9.34537770572661,20,210,-1,-1,0.721824549659906,-0.506913577739729,0.805578956735714,0.306726538088419,1.78991436205386,-0.506913577739729,0.805578956735714,0.306726538088419,1.77975803917978
"...187","σ-Hydrids","016","HYD","20151212","127","2",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...188","Geminids","004","GEM","20151214","112","33",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...189","Comae Ber.","020","COM","20151216","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...190","Dec. L. Minorids","032","DLM","20151220","161","30",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...191","Ursids","015","URS","20151223","217","76",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...192","﻿Quadrantids","010","QUA","20160104","230","49",229.07777595313,44.8915862252214,2.40953669520684,88,3916,-1,-1,0.000951220857399729,-0.464054532845501,-0.535299508082652,0.705767544728443,6.35313624362624,-0.464054532845501,-0.535299508082652,0.705767544728443,6.38868686865413
"...193","α-Centaurids","102","ACE","20160208","210","-59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...194","γ-Normids","118","GNO","20160314","239","-50",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...195","Lyrids","006","LYR","20160422","271","34",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...196","π-Puppids","137","PPU","20160423","110","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...197","η-Aquariids","031","ETA","20160505","338","-1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...198","η-Lyrids","145","ELY","20160508","287","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...199","Dayt. Arietids","171","ARI","20160607","44","24",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...200","June Bootids","170","JBO","20160627","224","48",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...201","Piscis Austr.","183","PAU","20160728","341","-30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...202","S. δ-Aquariids","005","SDA","20160730","340","-16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...203","α-Capricornids","001","CAP","20160730","307","-10",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...204","Perseids","007","PER","20160812","48","58",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...205","κ-Cygnids","012","KCG","20160817","286","59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...206","Aurigids","206","AUR","20160831","91","39",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...207","Sept. ε-Perseids","208","SPE","20160909","48","40",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...208","Dayt. Sextantids","221","DSX","20160927","152","0",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...209","Draconids","009","DRA","20161008","262","54",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...210","S. Taurids","002","STA","20161010","32","9",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...211","δ-Aurigids","224","DAU","20161011","84","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...212","ε-Geminids","023","EGE","20161018","102","27",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...213","Orionids","008","ORI","20161021","95","16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...214","Leonis Minorids","022","LMI","20161024","162","37",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...215","N. Taurids","017","NTA","20161112","58","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...216","Leonids","013","LEO","20161117","152","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...217","α-Monocerotids","246","AMO","20161121","117","1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...218","Nov. Orionids","250","NOO","20161128","91","16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...219","Phoenicids","254","PHO","20161202","18","-53",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...220","Puppid-Velids","301","PUP","20161207","123","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...221","Monocerotids","019","MON","20161208","100","8",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...222","σ-Hydrids","016","HYD","20161211","127","2",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...223","Geminids","004","GEM","20161214","112","33",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...224","Comae Ber.","020","COM","20161215","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...225","Dec. L. Minorids","032","DLM","20161219","161","30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...226","Ursids","015","URS","20161222","217","76",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...227",NA,NA,NA,"20091020",NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...228",NA,NA,NA,"20091120",NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p-value...229",NA,NA,NA,"20091214",NA,NA,113.961365520921,31.0588523968906,4.41295675494502,20,190,-1,-1,0.00167911609845842,-0.347898220045889,0.782812352733777,0.515918257959835,8.02724700797294,-0.347898220045889,0.782812352733777,0.515918257959835,8.50624031798541
"p-value...230",NA,NA,NA,"20100103",NA,NA,248.460029960673,26.6377269835758,10.3531434641726,14,91,-1,-1,1.03726036926092e-07,-0.328180592724285,-0.831433574381099,0.448347755599386,2.04178280268209,-0.328180592724285,-0.831433574381099,0.448347755599386,2.333009244372
